TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,1/26/2024,4:00,4:29,0.48,kWh,$0.06 ,
Electric usage,1/26/2024,4:30,4:59,0.48,kWh,$0.06 ,
Electric usage,1/26/2024,5:00,5:29,0.47,kWh,$0.06 ,
Electric usage,1/26/2024,5:30,5:59,0.98,kWh,$0.13 ,
Electric usage,1/26/2024,6:00,6:29,1.07,kWh,$0.14 ,
Electric usage,1/26/2024,6:30,6:59,0.78,kWh,$0.10 ,
Electric usage,1/26/2024,7:00,7:29,0.85,kWh,$0.11 ,
Electric usage,1/26/2024,7:30,7:59,0.78,kWh,$0.10 ,
Electric usage,1/26/2024,8:00,8:29,0.56,kWh,$0.07 ,
Electric usage,1/26/2024,8:30,8:59,0.28,kWh,$0.04 ,
Electric usage,1/26/2024,9:00,9:29,0.14,kWh,$0.02 ,
Electric usage,1/26/2024,9:30,9:59,0.09,kWh,$0.01 ,
Electric usage,1/26/2024,10:00,10:29,-0.05,kWh,($0.01),
Electric usage,1/26/2024,10:30,10:59,-0.1,kWh,($0.01),
Electric usage,1/26/2024,11:00,11:29,-0.35,kWh,($0.04),
Electric usage,1/26/2024,11:30,11:59,-0.31,kWh,($0.04),
Electric usage,1/26/2024,12:00,12:29,-0.5,kWh,($0.06),
Electric usage,1/26/2024,12:30,12:59,-0.42,kWh,($0.05),
Electric usage,1/26/2024,13:00,13:29,-0.05,kWh,($0.01),
Electric usage,1/26/2024,13:30,13:59,-0.2,kWh,($0.03),
Electric usage,1/26/2024,14:00,14:29,0.43,kWh,$0.06 ,
Electric usage,1/26/2024,14:30,14:59,0.01,kWh,$0.00 ,
Electric usage,1/26/2024,15:00,15:29,0.26,kWh,$0.03 ,
Electric usage,1/26/2024,15:30,15:59,0.33,kWh,$0.04 ,
Electric usage,1/26/2024,16:00,16:29,0.66,kWh,$0.08 ,
Electric usage,1/26/2024,16:30,16:59,0.7,kWh,$0.09 ,
Electric usage,1/26/2024,17:00,17:29,0.72,kWh,$0.09 ,
Electric usage,1/26/2024,17:30,17:59,0.48,kWh,$0.06 ,
Electric usage,1/26/2024,18:00,18:29,0.48,kWh,$0.06 ,
Electric usage,1/26/2024,18:30,18:59,0.55,kWh,$0.07 ,
Electric usage,1/26/2024,19:00,19:29,0.51,kWh,$0.06 ,
Electric usage,1/26/2024,19:30,19:59,0.4,kWh,$0.05 ,
Electric usage,1/26/2024,20:00,20:29,0.6,kWh,$0.08 ,
Electric usage,1/26/2024,20:30,20:59,0.65,kWh,$0.08 ,
Electric usage,1/26/2024,21:00,21:29,0.58,kWh,$0.07 ,
Electric usage,1/26/2024,21:30,21:59,0.5,kWh,$0.06 ,
Electric usage,1/26/2024,22:00,22:29,0.54,kWh,$0.07 ,
Electric usage,1/26/2024,22:30,22:59,0.5,kWh,$0.06 ,
Electric usage,1/26/2024,23:00,23:29,0.48,kWh,$0.06 ,
Electric usage,1/26/2024,23:30,23:59,0.5,kWh,$0.06 ,
Electric usage,1/27/2024,0:00,0:29,0.45,kWh,$0.06 ,
Electric usage,1/27/2024,0:30,0:59,0.47,kWh,$0.06 ,
Electric usage,1/27/2024,1:00,1:29,0.43,kWh,$0.06 ,
Electric usage,1/27/2024,1:30,1:59,0.45,kWh,$0.06 ,
Electric usage,1/27/2024,2:00,2:29,0.46,kWh,$0.06 ,
Electric usage,1/27/2024,2:30,2:59,0.52,kWh,$0.07 ,
Electric usage,1/27/2024,3:00,3:29,0.48,kWh,$0.06 ,
Electric usage,1/27/2024,3:30,3:59,0.42,kWh,$0.05 ,
Electric usage,1/27/2024,4:00,4:29,0.49,kWh,$0.06 ,
Electric usage,1/27/2024,4:30,4:59,0.45,kWh,$0.06 ,
Electric usage,1/27/2024,5:00,5:29,0.58,kWh,$0.07 ,
Electric usage,1/27/2024,5:30,5:59,0.68,kWh,$0.09 ,
Electric usage,1/27/2024,6:00,6:29,0.88,kWh,$0.11 ,
Electric usage,1/27/2024,6:30,6:59,0.58,kWh,$0.07 ,
Electric usage,1/27/2024,7:00,7:29,0.64,kWh,$0.08 ,
Electric usage,1/27/2024,7:30,7:59,0.44,kWh,$0.06 ,
Electric usage,1/27/2024,8:00,8:29,0.33,kWh,$0.04 ,
Electric usage,1/27/2024,8:30,8:59,-0.08,kWh,($0.01),
Electric usage,1/27/2024,9:00,9:29,-0.08,kWh,($0.01),
Electric usage,1/27/2024,9:30,9:59,-0.02,kWh,$0.00 ,
Electric usage,1/27/2024,10:00,10:29,-0.5,kWh,($0.06),
Electric usage,1/27/2024,10:30,10:59,-0.4,kWh,($0.05),
Electric usage,1/27/2024,11:00,11:29,-0.33,kWh,($0.04),
Electric usage,1/27/2024,11:30,11:59,0.11,kWh,$0.01 ,
Electric usage,1/27/2024,12:00,12:29,-0.14,kWh,($0.02),
Electric usage,1/27/2024,12:30,12:59,-0.54,kWh,($0.07),
Electric usage,1/27/2024,13:00,13:29,-0.32,kWh,($0.04),
Electric usage,1/27/2024,13:30,13:59,-0.06,kWh,($0.01),
Electric usage,1/27/2024,14:00,14:29,0.21,kWh,$0.03 ,
Electric usage,1/27/2024,14:30,14:59,0.25,kWh,$0.03 ,
Electric usage,1/27/2024,15:00,15:29,0.41,kWh,$0.05 ,
Electric usage,1/27/2024,15:30,15:59,0.61,kWh,$0.08 ,
Electric usage,1/27/2024,16:00,16:29,0.76,kWh,$0.10 ,
Electric usage,1/27/2024,16:30,16:59,0.74,kWh,$0.09 ,
Electric usage,1/27/2024,17:00,17:29,0.82,kWh,$0.11 ,
Electric usage,1/27/2024,17:30,17:59,0.99,kWh,$0.13 ,
Electric usage,1/27/2024,18:00,18:29,0.82,kWh,$0.10 ,
Electric usage,1/27/2024,18:30,18:59,0.88,kWh,$0.11 ,
Electric usage,1/27/2024,19:00,19:29,0.99,kWh,$0.13 ,
Electric usage,1/27/2024,19:30,19:59,0.81,kWh,$0.10 ,
Electric usage,1/27/2024,20:00,20:29,0.85,kWh,$0.11 ,
Electric usage,1/27/2024,20:30,20:59,0.83,kWh,$0.11 ,
Electric usage,1/27/2024,21:00,21:29,0.82,kWh,$0.11 ,
Electric usage,1/27/2024,21:30,21:59,0.78,kWh,$0.10 ,
Electric usage,1/27/2024,22:00,22:29,0.75,kWh,$0.10 ,
Electric usage,1/27/2024,22:30,22:59,0.66,kWh,$0.08 ,
Electric usage,1/27/2024,23:00,23:29,0.62,kWh,$0.08 ,
Electric usage,1/27/2024,23:30,23:59,0.66,kWh,$0.08 ,
Electric usage,1/28/2024,0:00,0:29,0.63,kWh,$0.08 ,
Electric usage,1/28/2024,0:30,0:59,0.57,kWh,$0.07 ,
Electric usage,1/28/2024,1:00,1:29,0.55,kWh,$0.07 ,
Electric usage,1/28/2024,1:30,1:59,0.46,kWh,$0.06 ,
Electric usage,1/28/2024,2:00,2:29,0.48,kWh,$0.06 ,
Electric usage,1/28/2024,2:30,2:59,0.45,kWh,$0.06 ,
Electric usage,1/28/2024,3:00,3:29,0.51,kWh,$0.07 ,
Electric usage,1/28/2024,3:30,3:59,0.5,kWh,$0.06 ,
Electric usage,1/28/2024,4:00,4:29,0.49,kWh,$0.06 ,
Electric usage,1/28/2024,4:30,4:59,0.44,kWh,$0.06 ,
Electric usage,1/28/2024,5:00,5:29,0.49,kWh,$0.06 ,
Electric usage,1/28/2024,5:30,5:59,0.7,kWh,$0.09 ,
Electric usage,1/28/2024,6:00,6:29,0.81,kWh,$0.10 ,
Electric usage,1/28/2024,6:30,6:59,0.65,kWh,$0.08 ,
Electric usage,1/28/2024,7:00,7:29,0.6,kWh,$0.08 ,
Electric usage,1/28/2024,7:30,7:59,0.96,kWh,$0.12 ,
Electric usage,1/28/2024,8:00,8:29,0.71,kWh,$0.09 ,
Electric usage,1/28/2024,8:30,8:59,1.04,kWh,$0.13 ,
Electric usage,1/28/2024,9:00,9:29,0.97,kWh,$0.12 ,
Electric usage,1/28/2024,9:30,9:59,1.01,kWh,$0.13 ,
Electric usage,1/28/2024,10:00,10:29,0.05,kWh,$0.01 ,
Electric usage,1/28/2024,10:30,10:59,-0.38,kWh,($0.05),
Electric usage,1/28/2024,11:00,11:29,-0.46,kWh,($0.06),
Electric usage,1/28/2024,11:30,11:59,-0.87,kWh,($0.11),
Electric usage,1/28/2024,12:00,12:29,-1.03,kWh,($0.13),
Electric usage,1/28/2024,12:30,12:59,-0.39,kWh,($0.05),
Electric usage,1/28/2024,13:00,13:29,-0.04,kWh,$0.00 ,
Electric usage,1/28/2024,13:30,13:59,0.04,kWh,$0.00 ,
Electric usage,1/28/2024,14:00,14:29,0.5,kWh,$0.06 ,
Electric usage,1/28/2024,14:30,14:59,0.52,kWh,$0.07 ,
Electric usage,1/28/2024,15:00,15:29,0.62,kWh,$0.08 ,
Electric usage,1/28/2024,15:30,15:59,0.79,kWh,$0.10 ,
Electric usage,1/28/2024,16:00,16:29,0.77,kWh,$0.10 ,
Electric usage,1/28/2024,16:30,16:59,0.72,kWh,$0.09 ,
Electric usage,1/28/2024,17:00,17:29,0.78,kWh,$0.10 ,
Electric usage,1/28/2024,17:30,17:59,0.73,kWh,$0.09 ,
Electric usage,1/28/2024,18:00,18:29,0.67,kWh,$0.09 ,
Electric usage,1/28/2024,18:30,18:59,0.69,kWh,$0.09 ,
Electric usage,1/28/2024,19:00,19:29,0.76,kWh,$0.10 ,
Electric usage,1/28/2024,19:30,19:59,0.77,kWh,$0.10 ,
Electric usage,1/28/2024,20:00,20:29,0.83,kWh,$0.11 ,
Electric usage,1/28/2024,20:30,20:59,0.73,kWh,$0.09 ,
Electric usage,1/28/2024,21:00,21:29,0.9,kWh,$0.12 ,
Electric usage,1/28/2024,21:30,21:59,0.88,kWh,$0.11 ,
Electric usage,1/28/2024,22:00,22:29,1.53,kWh,$0.20 ,
Electric usage,1/28/2024,22:30,22:59,0.92,kWh,$0.12 ,
Electric usage,1/28/2024,23:00,23:29,0.83,kWh,$0.11 ,
Electric usage,1/28/2024,23:30,23:59,0.69,kWh,$0.09 ,
Electric usage,1/29/2024,0:00,0:29,0.48,kWh,$0.06 ,
Electric usage,1/29/2024,0:30,0:59,0.46,kWh,$0.06 ,
Electric usage,1/29/2024,1:00,1:29,0.43,kWh,$0.06 ,
Electric usage,1/29/2024,1:30,1:59,0.48,kWh,$0.06 ,
Electric usage,1/29/2024,2:00,2:29,0.52,kWh,$0.07 ,
Electric usage,1/29/2024,2:30,2:59,0.61,kWh,$0.08 ,
Electric usage,1/29/2024,3:00,3:29,0.45,kWh,$0.06 ,
Electric usage,1/29/2024,3:30,3:59,0.58,kWh,$0.07 ,
Electric usage,1/29/2024,4:00,4:29,0.49,kWh,$0.06 ,
Electric usage,1/29/2024,4:30,4:59,0.55,kWh,$0.07 ,
Electric usage,1/29/2024,5:00,5:29,0.49,kWh,$0.06 ,
Electric usage,1/29/2024,5:30,5:59,0.53,kWh,$0.07 ,
Electric usage,1/29/2024,6:00,6:29,0.87,kWh,$0.11 ,
Electric usage,1/29/2024,6:30,6:59,0.83,kWh,$0.11 ,
Electric usage,1/29/2024,7:00,7:29,0.75,kWh,$0.10 ,
Electric usage,1/29/2024,7:30,7:59,0.51,kWh,$0.07 ,
Electric usage,1/29/2024,8:00,8:29,0.41,kWh,$0.05 ,
Electric usage,1/29/2024,8:30,8:59,0.53,kWh,$0.07 ,
Electric usage,1/29/2024,9:00,9:29,-0.1,kWh,($0.01),
Electric usage,1/29/2024,9:30,9:59,-0.95,kWh,($0.12),
Electric usage,1/29/2024,10:00,10:29,-1.11,kWh,($0.14),
Electric usage,1/29/2024,10:30,10:59,-2.51,kWh,($0.32),
Electric usage,1/29/2024,11:00,11:29,-2.53,kWh,($0.32),
Electric usage,1/29/2024,11:30,11:59,-2.31,kWh,($0.30),
Electric usage,1/29/2024,12:00,12:29,-1.88,kWh,($0.24),
Electric usage,1/29/2024,12:30,12:59,-2.05,kWh,($0.26),
Electric usage,1/29/2024,13:00,13:29,-1.33,kWh,($0.17),
Electric usage,1/29/2024,13:30,13:59,-0.49,kWh,($0.06),
Electric usage,1/29/2024,14:00,14:29,-0.06,kWh,($0.01),
Electric usage,1/29/2024,14:30,14:59,0.14,kWh,$0.02 ,
Electric usage,1/29/2024,15:00,15:29,0.23,kWh,$0.03 ,
Electric usage,1/29/2024,15:30,15:59,0.34,kWh,$0.04 ,
Electric usage,1/29/2024,16:00,16:29,0.77,kWh,$0.10 ,
Electric usage,1/29/2024,16:30,16:59,1.17,kWh,$0.15 ,
Electric usage,1/29/2024,17:00,17:29,0.97,kWh,$0.12 ,
Electric usage,1/29/2024,17:30,17:59,0.96,kWh,$0.12 ,
Electric usage,1/29/2024,18:00,18:29,1.06,kWh,$0.14 ,
Electric usage,1/29/2024,18:30,18:59,0.79,kWh,$0.10 ,
Electric usage,1/29/2024,19:00,19:29,0.66,kWh,$0.08 ,
Electric usage,1/29/2024,19:30,19:59,0.77,kWh,$0.10 ,
Electric usage,1/29/2024,20:00,20:29,0.85,kWh,$0.11 ,
Electric usage,1/29/2024,20:30,20:59,0.99,kWh,$0.13 ,
Electric usage,1/29/2024,21:00,21:29,0.77,kWh,$0.10 ,
Electric usage,1/29/2024,21:30,21:59,0.5,kWh,$0.06 ,
Electric usage,1/29/2024,22:00,22:29,0.48,kWh,$0.06 ,
Electric usage,1/29/2024,22:30,22:59,0.43,kWh,$0.06 ,
Electric usage,1/29/2024,23:00,23:29,0.43,kWh,$0.06 ,
Electric usage,1/29/2024,23:30,23:59,0.45,kWh,$0.06 ,
Electric usage,1/30/2024,0:00,0:29,0.46,kWh,$0.06 ,
Electric usage,1/30/2024,0:30,0:59,0.44,kWh,$0.06 ,
Electric usage,1/30/2024,1:00,1:29,0.55,kWh,$0.07 ,
Electric usage,1/30/2024,1:30,1:59,0.43,kWh,$0.06 ,
Electric usage,1/30/2024,2:00,2:29,0.5,kWh,$0.06 ,
Electric usage,1/30/2024,2:30,2:59,0.51,kWh,$0.06 ,
Electric usage,1/30/2024,3:00,3:29,0.44,kWh,$0.06 ,
Electric usage,1/30/2024,3:30,3:59,0.55,kWh,$0.07 ,
Electric usage,1/30/2024,4:00,4:29,0.46,kWh,$0.06 ,
Electric usage,1/30/2024,4:30,4:59,0.55,kWh,$0.07 ,
Electric usage,1/30/2024,5:00,5:29,0.58,kWh,$0.07 ,
Electric usage,1/30/2024,5:30,5:59,0.52,kWh,$0.07 ,
Electric usage,1/30/2024,6:00,6:29,0.82,kWh,$0.11 ,
Electric usage,1/30/2024,6:30,6:59,0.87,kWh,$0.11 ,
Electric usage,1/30/2024,7:00,7:29,0.82,kWh,$0.10 ,
Electric usage,1/30/2024,7:30,7:59,0.66,kWh,$0.08 ,
Electric usage,1/30/2024,8:00,8:29,0.62,kWh,$0.08 ,
Electric usage,1/30/2024,8:30,8:59,0.97,kWh,$0.12 ,
Electric usage,1/30/2024,9:00,9:29,0.39,kWh,$0.05 ,
Electric usage,1/30/2024,9:30,9:59,0.7,kWh,$0.09 ,
Electric usage,1/30/2024,10:00,10:29,-0.42,kWh,($0.05),
Electric usage,1/30/2024,10:30,10:59,-0.3,kWh,($0.04),
Electric usage,1/30/2024,11:00,11:29,-0.07,kWh,($0.01),
Electric usage,1/30/2024,11:30,11:59,-0.24,kWh,($0.03),
Electric usage,1/30/2024,12:00,12:29,2.1,kWh,$0.27 ,
Electric usage,1/30/2024,12:30,12:59,3.19,kWh,$0.41 ,
Electric usage,1/30/2024,13:00,13:29,3.38,kWh,$0.43 ,
Electric usage,1/30/2024,13:30,13:59,3.25,kWh,$0.42 ,
Electric usage,1/30/2024,14:00,14:29,4.6,kWh,$0.59 ,
Electric usage,1/30/2024,14:30,14:59,3.92,kWh,$0.50 ,
Electric usage,1/30/2024,15:00,15:29,4.45,kWh,$0.57 ,
Electric usage,1/30/2024,15:30,15:59,3.9,kWh,$0.50 ,
Electric usage,1/30/2024,16:00,16:29,4.23,kWh,$0.54 ,
Electric usage,1/30/2024,16:30,16:59,3.56,kWh,$0.45 ,
Electric usage,1/30/2024,17:00,17:29,3.34,kWh,$0.43 ,
Electric usage,1/30/2024,17:30,17:59,3.54,kWh,$0.45 ,
Electric usage,1/30/2024,18:00,18:29,3.47,kWh,$0.44 ,
Electric usage,1/30/2024,18:30,18:59,3.52,kWh,$0.45 ,
Electric usage,1/30/2024,19:00,19:29,3.5,kWh,$0.45 ,
Electric usage,1/30/2024,19:30,19:59,3.95,kWh,$0.50 ,
Electric usage,1/30/2024,20:00,20:29,4.07,kWh,$0.52 ,
Electric usage,1/30/2024,20:30,20:59,3.41,kWh,$0.44 ,
Electric usage,1/30/2024,21:00,21:29,3.75,kWh,$0.48 ,
Electric usage,1/30/2024,21:30,21:59,3.41,kWh,$0.44 ,
Electric usage,1/30/2024,22:00,22:29,3.33,kWh,$0.43 ,
Electric usage,1/30/2024,22:30,22:59,3.16,kWh,$0.40 ,
Electric usage,1/30/2024,23:00,23:29,3.22,kWh,$0.41 ,
Electric usage,1/30/2024,23:30,23:59,3.18,kWh,$0.41 ,
Electric usage,1/31/2024,0:00,0:29,3.17,kWh,$0.40 ,
Electric usage,1/31/2024,0:30,0:59,3.09,kWh,$0.39 ,
Electric usage,1/31/2024,1:00,1:29,3.12,kWh,$0.40 ,
Electric usage,1/31/2024,1:30,1:59,3.13,kWh,$0.40 ,
Electric usage,1/31/2024,2:00,2:29,3.13,kWh,$0.40 ,
Electric usage,1/31/2024,2:30,2:59,3.1,kWh,$0.40 ,
Electric usage,1/31/2024,3:00,3:29,3.07,kWh,$0.39 ,
Electric usage,1/31/2024,3:30,3:59,3.09,kWh,$0.39 ,
Electric usage,1/31/2024,4:00,4:29,3.08,kWh,$0.39 ,
Electric usage,1/31/2024,4:30,4:59,3.12,kWh,$0.40 ,
Electric usage,1/31/2024,5:00,5:29,3.19,kWh,$0.41 ,
Electric usage,1/31/2024,5:30,5:59,3.3,kWh,$0.42 ,
Electric usage,1/31/2024,6:00,6:29,3.63,kWh,$0.46 ,
Electric usage,1/31/2024,6:30,6:59,3.33,kWh,$0.43 ,
Electric usage,1/31/2024,7:00,7:29,3.23,kWh,$0.41 ,
Electric usage,1/31/2024,7:30,7:59,3.08,kWh,$0.39 ,
Electric usage,1/31/2024,8:00,8:29,2.74,kWh,$0.35 ,
Electric usage,1/31/2024,8:30,8:59,2.6,kWh,$0.33 ,
Electric usage,1/31/2024,9:00,9:29,2.5,kWh,$0.32 ,
Electric usage,1/31/2024,9:30,9:59,2.57,kWh,$0.33 ,
Electric usage,1/31/2024,10:00,10:29,2.36,kWh,$0.30 ,
Electric usage,1/31/2024,10:30,10:59,2.01,kWh,$0.26 ,
Electric usage,1/31/2024,11:00,11:29,1.72,kWh,$0.22 ,
Electric usage,1/31/2024,11:30,11:59,1.75,kWh,$0.22 ,
Electric usage,1/31/2024,12:00,12:29,0.09,kWh,$0.01 ,
Electric usage,1/31/2024,12:30,12:59,-0.45,kWh,($0.06),
Electric usage,1/31/2024,13:00,13:29,-0.73,kWh,($0.09),
Electric usage,1/31/2024,13:30,13:59,-0.72,kWh,($0.09),
Electric usage,1/31/2024,14:00,14:29,-0.6,kWh,($0.08),
Electric usage,1/31/2024,14:30,14:59,-0.48,kWh,($0.06),
Electric usage,1/31/2024,15:00,15:29,0,kWh,$0.00 ,
Electric usage,1/31/2024,15:30,15:59,0.43,kWh,$0.06 ,
Electric usage,1/31/2024,16:00,16:29,0.54,kWh,$0.07 ,
Electric usage,1/31/2024,16:30,16:59,0.95,kWh,$0.12 ,
Electric usage,1/31/2024,17:00,17:29,0.8,kWh,$0.10 ,
Electric usage,1/31/2024,17:30,17:59,0.64,kWh,$0.08 ,
Electric usage,1/31/2024,18:00,18:29,0.44,kWh,$0.06 ,
Electric usage,1/31/2024,18:30,18:59,0.55,kWh,$0.07 ,
Electric usage,1/31/2024,19:00,19:29,0.42,kWh,$0.05 ,
Electric usage,1/31/2024,19:30,19:59,0.42,kWh,$0.05 ,
Electric usage,1/31/2024,20:00,20:29,0.54,kWh,$0.07 ,
Electric usage,1/31/2024,20:30,20:59,0.49,kWh,$0.06 ,
Electric usage,1/31/2024,21:00,21:29,0.49,kWh,$0.06 ,
Electric usage,1/31/2024,21:30,21:59,0.52,kWh,$0.07 ,
Electric usage,1/31/2024,22:00,22:29,0.49,kWh,$0.06 ,
Electric usage,1/31/2024,22:30,22:59,0.47,kWh,$0.06 ,
Electric usage,1/31/2024,23:00,23:29,0.34,kWh,$0.04 ,
Electric usage,1/31/2024,23:30,23:59,0.42,kWh,$0.05 ,
Electric usage,2/1/2024,0:00,0:29,0.41,kWh,$0.06 ,
Electric usage,2/1/2024,0:30,0:59,0.41,kWh,$0.06 ,
Electric usage,2/1/2024,1:00,1:29,0.35,kWh,$0.05 ,
Electric usage,2/1/2024,1:30,1:59,0.4,kWh,$0.06 ,
Electric usage,2/1/2024,2:00,2:29,0.43,kWh,$0.06 ,
Electric usage,2/1/2024,2:30,2:59,0.44,kWh,$0.07 ,
Electric usage,2/1/2024,3:00,3:29,0.38,kWh,$0.06 ,
Electric usage,2/1/2024,3:30,3:59,0.42,kWh,$0.06 ,
Electric usage,2/1/2024,4:00,4:29,0.39,kWh,$0.06 ,
Electric usage,2/1/2024,4:30,4:59,0.42,kWh,$0.06 ,
Electric usage,2/1/2024,5:00,5:29,0.44,kWh,$0.06 ,
Electric usage,2/1/2024,5:30,5:59,0.68,kWh,$0.10 ,
Electric usage,2/1/2024,6:00,6:29,0.93,kWh,$0.14 ,
Electric usage,2/1/2024,6:30,6:59,0.82,kWh,$0.12 ,
Electric usage,2/1/2024,7:00,7:29,0.37,kWh,$0.05 ,
Electric usage,2/1/2024,7:30,7:59,-1.05,kWh,($0.15),
Electric usage,2/1/2024,8:00,8:29,-2.21,kWh,($0.32),
Electric usage,2/1/2024,8:30,8:59,-2.88,kWh,($0.42),
Electric usage,2/1/2024,9:00,9:29,-3.29,kWh,($0.48),
Electric usage,2/1/2024,9:30,9:59,-3.48,kWh,($0.51),
Electric usage,2/1/2024,10:00,10:29,-3.57,kWh,($0.53),
Electric usage,2/1/2024,10:30,10:59,-3.45,kWh,($0.51),
Electric usage,2/1/2024,11:00,11:29,-3.31,kWh,($0.49),
Electric usage,2/1/2024,11:30,11:59,-2.85,kWh,($0.42),
Electric usage,2/1/2024,12:00,12:29,-1.71,kWh,($0.25),
Electric usage,2/1/2024,12:30,12:59,-1.71,kWh,($0.25),
Electric usage,2/1/2024,13:00,13:29,-1.08,kWh,($0.16),
Electric usage,2/1/2024,13:30,13:59,-0.55,kWh,($0.08),
Electric usage,2/1/2024,14:00,14:29,0.19,kWh,$0.03 ,
Electric usage,2/1/2024,14:30,14:59,-0.24,kWh,($0.04),
Electric usage,2/1/2024,15:00,15:29,0.59,kWh,$0.09 ,
Electric usage,2/1/2024,15:30,15:59,0.14,kWh,$0.02 ,
Electric usage,2/1/2024,16:00,16:29,0.22,kWh,$0.03 ,
Electric usage,2/1/2024,16:30,16:59,0.57,kWh,$0.08 ,
Electric usage,2/1/2024,17:00,17:29,0.55,kWh,$0.08 ,
Electric usage,2/1/2024,17:30,17:59,0.75,kWh,$0.11 ,
Electric usage,2/1/2024,18:00,18:29,0.78,kWh,$0.11 ,
Electric usage,2/1/2024,18:30,18:59,0.78,kWh,$0.11 ,
Electric usage,2/1/2024,19:00,19:29,0.77,kWh,$0.11 ,
Electric usage,2/1/2024,19:30,19:59,0.81,kWh,$0.12 ,
Electric usage,2/1/2024,20:00,20:29,0.79,kWh,$0.12 ,
Electric usage,2/1/2024,20:30,20:59,0.78,kWh,$0.11 ,
Electric usage,2/1/2024,21:00,21:29,0.65,kWh,$0.10 ,
Electric usage,2/1/2024,21:30,21:59,0.56,kWh,$0.08 ,
Electric usage,2/1/2024,22:00,22:29,0.48,kWh,$0.07 ,
Electric usage,2/1/2024,22:30,22:59,0.66,kWh,$0.10 ,
Electric usage,2/1/2024,23:00,23:29,1.16,kWh,$0.17 ,
Electric usage,2/1/2024,23:30,23:59,0.69,kWh,$0.10 ,
Electric usage,2/2/2024,0:00,0:29,0.93,kWh,$0.14 ,
Electric usage,2/2/2024,0:30,0:59,0.66,kWh,$0.10 ,
Electric usage,2/2/2024,1:00,1:29,0.48,kWh,$0.07 ,
Electric usage,2/2/2024,1:30,1:59,0.38,kWh,$0.06 ,
Electric usage,2/2/2024,2:00,2:29,0.37,kWh,$0.05 ,
Electric usage,2/2/2024,2:30,2:59,0.41,kWh,$0.06 ,
Electric usage,2/2/2024,3:00,3:29,0.45,kWh,$0.07 ,
Electric usage,2/2/2024,3:30,3:59,0.41,kWh,$0.06 ,
Electric usage,2/2/2024,4:00,4:29,0.44,kWh,$0.07 ,
Electric usage,2/2/2024,4:30,4:59,0.33,kWh,$0.05 ,
Electric usage,2/2/2024,5:00,5:29,0.48,kWh,$0.07 ,
Electric usage,2/2/2024,5:30,5:59,0.59,kWh,$0.09 ,
Electric usage,2/2/2024,6:00,6:29,0.74,kWh,$0.11 ,
Electric usage,2/2/2024,6:30,6:59,0.87,kWh,$0.13 ,
Electric usage,2/2/2024,7:00,7:29,0.73,kWh,$0.11 ,
Electric usage,2/2/2024,7:30,7:59,0.7,kWh,$0.10 ,
Electric usage,2/2/2024,8:00,8:29,0.49,kWh,$0.07 ,
Electric usage,2/2/2024,8:30,8:59,0.2,kWh,$0.03 ,
Electric usage,2/2/2024,9:00,9:29,0.17,kWh,$0.02 ,
Electric usage,2/2/2024,9:30,9:59,-0.04,kWh,($0.01),
Electric usage,2/2/2024,10:00,10:29,0.62,kWh,$0.09 ,
Electric usage,2/2/2024,10:30,10:59,5.28,kWh,$0.78 ,
Electric usage,2/2/2024,11:00,11:29,3.74,kWh,$0.55 ,
Electric usage,2/2/2024,11:30,11:59,3.69,kWh,$0.54 ,
Electric usage,2/2/2024,12:00,12:29,3.53,kWh,$0.52 ,
Electric usage,2/2/2024,12:30,12:59,4.24,kWh,$0.62 ,
Electric usage,2/2/2024,13:00,13:29,5.04,kWh,$0.74 ,
Electric usage,2/2/2024,13:30,13:59,4.42,kWh,$0.65 ,
Electric usage,2/2/2024,14:00,14:29,4.54,kWh,$0.67 ,
Electric usage,2/2/2024,14:30,14:59,0.57,kWh,$0.08 ,
Electric usage,2/2/2024,15:00,15:29,0.1,kWh,$0.01 ,
Electric usage,2/2/2024,15:30,15:59,0.73,kWh,$0.11 ,
Electric usage,2/2/2024,16:00,16:29,0.88,kWh,$0.13 ,
Electric usage,2/2/2024,16:30,16:59,0.78,kWh,$0.11 ,
Electric usage,2/2/2024,17:00,17:29,0.91,kWh,$0.13 ,
Electric usage,2/2/2024,17:30,17:59,0.92,kWh,$0.14 ,
Electric usage,2/2/2024,18:00,18:29,0.84,kWh,$0.12 ,
Electric usage,2/2/2024,18:30,18:59,0.78,kWh,$0.11 ,
Electric usage,2/2/2024,19:00,19:29,0.69,kWh,$0.10 ,
Electric usage,2/2/2024,19:30,19:59,0.57,kWh,$0.08 ,
Electric usage,2/2/2024,20:00,20:29,0.57,kWh,$0.08 ,
Electric usage,2/2/2024,20:30,20:59,0.68,kWh,$0.10 ,
Electric usage,2/2/2024,21:00,21:29,0.62,kWh,$0.09 ,
Electric usage,2/2/2024,21:30,21:59,0.35,kWh,$0.05 ,
Electric usage,2/2/2024,22:00,22:29,0.49,kWh,$0.07 ,
Electric usage,2/2/2024,22:30,22:59,0.5,kWh,$0.07 ,
Electric usage,2/2/2024,23:00,23:29,0.44,kWh,$0.06 ,
Electric usage,2/2/2024,23:30,23:59,0.4,kWh,$0.06 ,
Electric usage,2/3/2024,0:00,0:29,0.5,kWh,$0.07 ,
Electric usage,2/3/2024,0:30,0:59,0.41,kWh,$0.06 ,
